dataset,miss_cost,fp_cost,explain_cost,best_models,best_cost
cmapss_fd003,1000,0.5,0.0,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,1000,0.5,0.25,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,1000,0.5,0.5,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,1000,0.5,1.0,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,1000,0.5,2.0,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,1000,0.5,5.0,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,1000,1.0,0.0,matched_tcn+lite_no_attn_mc,2.0
cmapss_fd003,1000,1.0,0.25,matched_tcn+lite_no_attn_mc,2.0
cmapss_fd003,1000,1.0,0.5,matched_tcn+lite_no_attn_mc,2.0
cmapss_fd003,1000,1.0,1.0,matched_tcn+lite_no_attn_mc,2.0
cmapss_fd003,1000,1.0,2.0,matched_tcn+lite_no_attn_mc,2.0
cmapss_fd003,1000,1.0,5.0,matched_tcn+lite_no_attn_mc,2.0
cmapss_fd003,1000,2.0,0.0,matched_tcn+lite_no_attn_mc,4.0
cmapss_fd003,1000,2.0,0.25,matched_tcn+lite_no_attn_mc,4.0
cmapss_fd003,1000,2.0,0.5,matched_tcn+lite_no_attn_mc,4.0
cmapss_fd003,1000,2.0,1.0,matched_tcn+lite_no_attn_mc,4.0
cmapss_fd003,1000,2.0,2.0,matched_tcn+lite_no_attn_mc,4.0
cmapss_fd003,1000,2.0,5.0,matched_tcn+lite_no_attn_mc,4.0
cmapss_fd003,1000,5.0,0.0,matched_tcn+lite_no_attn_mc,10.0
cmapss_fd003,1000,5.0,0.25,matched_tcn+lite_no_attn_mc,10.0
cmapss_fd003,1000,5.0,0.5,matched_tcn+lite_no_attn_mc,10.0
cmapss_fd003,1000,5.0,1.0,matched_tcn+lite_no_attn_mc,10.0
cmapss_fd003,1000,5.0,2.0,matched_tcn+lite_no_attn_mc,10.0
cmapss_fd003,1000,5.0,5.0,matched_tcn+lite_no_attn_mc,10.0
ur3,10,0.5,0.0,matched_tcn+lite_no_attn_mc,3.0
ur3,10,0.5,0.25,matched_tcn+lite_no_attn_mc,3.0
ur3,10,0.5,0.5,matched_tcn+lite_no_attn_mc,3.0
